Date,Signal
1992-05-06,BUY
1998-05-28,SELL
1998-07-13,BUY
1998-08-10,SELL
1998-11-04,BUY
1999-09-22,SELL
1999-11-15,BUY
2000-10-02,SELL
2001-01-30,BUY
2001-06-14,SELL
2001-11-05,BUY
2002-02-04,SELL
2002-11-06,BUY
2002-12-26,SELL
2003-04-08,BUY
2004-05-06,SELL
2004-06-16,BUY
2004-07-22,SELL
2004-09-13,BUY
2005-09-19,SELL
2005-11-14,BUY
2006-06-05,SELL
2007-04-11,BUY
2007-07-25,SELL
2007-09-24,BUY
2007-11-07,SELL
2008-04-15,BUY
2008-06-05,SELL
2008-08-27,BUY
2008-09-15,SELL
2009-01-05,BUY
2009-07-09,SELL
2010-03-09,BUY
2010-05-05,SELL
2010-07-29,BUY
2011-03-14,SELL
2011-04-14,BUY
2011-06-06,SELL
2011-07-18,BUY
2011-08-01,SELL
2011-10-31,BUY
2011-11-25,SELL
2012-07-09,BUY
2012-11-05,SELL
2012-12-18,BUY
2013-09-03,SELL
2013-10-21,BUY
2014-09-30,SELL
2014-11-11,BUY
2014-12-15,SELL
2015-03-02,BUY
2015-06-24,SELL
2015-10-26,BUY
2015-12-28,SELL
2016-03-10,BUY
2016-09-12,SELL
2016-12-05,BUY
2017-04-17,SELL
2018-05-16,BUY
2018-10-09,SELL
2019-01-29,BUY
2019-05-28,SELL
2019-07-01,BUY
2019-08-05,SELL
2019-09-18,BUY
2020-02-24,SELL
2020-04-28,BUY
2021-09-20,SELL
2021-10-28,BUY
2021-11-29,SELL
2022-01-03,BUY
2022-09-12,SELL
2022-11-09,BUY
2022-12-15,SELL
2023-01-30,BUY
2023-03-09,SELL
2023-04-10,BUY
2023-08-22,SELL
2023-11-24,BUY
2024-04-23,SELL
2024-05-20,BUY
2024-07-23,SELL
2025-02-10,BUY
